"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FNDC1",1.19797337885636,3.32152458535109,8.11329520012372,5.31262250772235e-15,9.00795108389029e-13,23.488539007137
"NES",0.832046162133053,4.28535515969992,8.11105931153384,5.39800096735754e-15,9.07242969601495e-13,23.4730607004089
"DEPDC1",-0.607459292689382,3.05003505541306,-8.10374862530953,5.68673486093764e-15,9.47459477700567e-13,23.4224729555413
"C11orf96",0.818058970372401,4.4694526552826,8.08965027698092,6.2872885802394e-15,1.03848663101196e-12,23.3250104950372
"HOMER3",0.669531234412619,3.17800242320249,8.0874163046627,6.38803431869855e-15,1.04610886791679e-12,23.3095783088242
"COL6A2",0.944678631045491,7.38950612516231,8.08588610582646,6.45796037239778e-15,1.04859763334866e-12,23.2990095539972
"TGFB1I1",0.625786640340588,3.88945359425961,8.06607763894974,7.43437039541161e-15,1.16756177685317e-12,23.1623284912731
"COX7A1",0.651732877505645,3.43657745424996,8.06242055826968,7.6299559477609e-15,1.18853622730975e-12,23.1371209236152
"BCAM",0.741494768675802,3.98279051837378,8.0235147012461,1.00525722248227e-14,1.51659278604412e-12,22.8694680991561
"CAVIN1",0.7850381611237,6.2605585536718,7.99395494177712,1.23876746026588e-14,1.83990577819336e-12,22.6667464338598
"CDH2",0.612027287259332,1.07873182563166,7.98662339635691,1.30452359700511e-14,1.89353576656196e-12,22.6165515503442
"GPC1",0.744315564131782,4.14385598187215,7.97061123869517,1.46035526286652e-14,2.10378998770845e-12,22.5070432828401
"TMEM200B",0.620981643266121,1.67410506024542,7.95118271348035,1.6742765429014e-14,2.37623248607339e-12,22.3743875617797
"CLEC11A",0.717343960214666,4.39218737578678,7.9449212240592,1.7495998557441e-14,2.46487744382772e-12,22.3316856855107
"BOC",0.67391159687317,1.43186070823036,7.93717504345418,1.84742600182662e-14,2.58369943029182e-12,22.2788929089911
"THBS2",1.32116855568077,5.21521845010367,7.9098810840825,2.23713003065702e-14,3.01855009770341e-12,22.0931787313884
"SYDE1",0.625800517576896,3.12839139758442,7.9080901551296,2.2653660123699e-14,3.03527362216834e-12,22.0810093859618
"ELN",0.960035039693536,4.14464216987354,7.89867156750158,2.41975127452697e-14,3.2196135013845e-12,22.0170437314165
"NTM",0.80820962626293,2.00000185010769,7.88918855419389,2.58567701560833e-14,3.37017494007181e-12,21.9526975543117
"CERCAM",0.836339256845219,3.86430462460026,7.88473392378108,2.66744915259449e-14,3.45326525430476e-12,21.9224908076551
"VASN",0.656481871681248,3.56692861766472,7.87608412285506,2.83358798727414e-14,3.61943638907817e-12,21.8638728252799
"MN1",0.61390925695504,1.45086231983802,7.87333521153027,2.88849516938414e-14,3.66513691691392e-12,21.8452539898172
"A4GALT",0.75446742752643,3.12184535453166,7.86818207253406,2.99426893171629e-14,3.77435478497922e-12,21.8103639098826
"NXPH3",0.659895216099718,1.1058118481203,7.86650778588802,3.02945138859443e-14,3.79374435329865e-12,21.799031555843
"COL1A1",1.16285342333741,8.99020235483939,7.86464706055104,3.0690303565777e-14,3.81835205402783e-12,21.7864393975535
"RHOB",0.594465376367682,7.9017204202999,7.86308495351475,3.10265121807616e-14,3.83527724763478e-12,21.7758697976665
"EMILIN1",0.911345803529815,5.6893331031655,7.86025493293027,3.16448941679067e-14,3.88664212985315e-12,21.7567251530962
"CYS1",0.609548756720296,1.48657241845877,7.83414308486988,3.79558468723591e-14,4.57379890612831e-12,21.5803242359324
"MRAP2",-0.901528690945698,3.44438325763603,-7.82782566303397,3.96604210650978e-14,4.71311683089793e-12,21.5377119181206
"ANXA6",0.641400672987931,5.82851954847838,7.82713988239251,3.98499439773207e-14,4.71311683089793e-12,21.5330877251816
"SFRP2",1.80787412322384,4.75679098136132,7.816829847763,4.28093207780209e-14,5.00138162260293e-12,21.4636039126998
"TIE1",0.630118609762087,2.67819615208262,7.81310776181158,4.39301333690857e-14,5.10122033546474e-12,21.43853591561
"RBPMS2",0.723470460101762,1.68802576486755,7.80748130361257,4.56795861872385e-14,5.27241488763548e-12,21.4006589920196
"KCNMB1",0.72338138574745,1.51507817760765,7.80612920961613,4.61101379359861e-14,5.29024097517062e-12,21.3915598210377
"GRP",0.980267971914635,2.06977702541712,7.80492306999635,4.64975906166421e-14,5.30293950127894e-12,21.3834438690895
"UCHL1",0.883717270899632,2.21870186648043,7.80288029315287,4.71611400251675e-14,5.34678960285331e-12,21.3697004305011
"LDOC1",0.685516041843289,2.62124446134614,7.75582491164453,6.53155708821914e-14,7.19222033392407e-12,21.0538641464413
"PLPP4",0.908837391684912,1.98709921930187,7.74778006452608,6.90454395636463e-14,7.51653762522422e-12,21.0000100684785
"CCL28",-0.920058721072687,3.76803638773963,-7.739824485621,7.29403532572513e-14,7.7765931725411e-12,20.9467947404699
"TUBB6",0.696529873097492,4.17640101915816,7.73975532537963,7.29751457380138e-14,7.7765931725411e-12,20.9463323032051
"TWIST1",0.748415484339998,2.14800042921647,7.73591703412787,7.49319611167924e-14,7.93202417125825e-12,20.9206725733733
"MFAP2",0.854014969817929,4.07172140149007,7.72932135649745,7.8416132442215e-14,8.25523679996065e-12,20.8766014625186
"COL18A1",0.786341552263848,5.2063075326879,7.71090755885445,8.90115422986388e-14,9.26881060022783e-12,20.7537131355003
"ITGBL1",0.786640349942754,1.38053369864591,7.68391104802865,1.07144517143933e-13,1.10966970187986e-11,20.5739444624516
"MRGPRF",0.844153744120059,2.98431796681684,7.68089332643483,1.09385135693053e-13,1.12678451606393e-11,20.5538790467409
"TIMP1",0.597935057390739,9.06278952123322,7.67918579447976,1.10673361435541e-13,1.13395807759624e-11,20.5425279640958
"MRC2",0.846508424636685,4.3481050405381,7.67445700204171,1.14319548196583e-13,1.16508645928007e-11,20.5111025029289
"CLIP3",0.650208883822053,2.91642810600469,7.67222124816451,1.16084449101016e-13,1.17681378030448e-11,20.4962497478028
"CHAC2",-0.64254324801204,3.3523646469189,-7.67092173293882,1.17122604485957e-13,1.18108900102681e-11,20.487618192842
"ITGA11",0.886155624776355,2.86767242435701,7.67004171892053,1.17830823265223e-13,1.18200972448255e-11,20.4817736468038
"FBLN1",1.01394532054729,4.76950660220812,7.66771555501573,1.19723276320175e-13,1.19473852827841e-11,20.4663270389798
"EHD2",0.80400495370675,4.89632505738917,7.65335730422962,1.32085936171911e-13,1.29782899336093e-11,20.3710610069533
"SALL4",0.665537637853643,1.69133858974846,7.65131261903673,1.33945893455871e-13,1.30274280132715e-11,20.3575056106658
"GAS1",1.03897553753545,2.23841293501174,7.62225963534597,1.63339315469826e-13,1.55700561413028e-11,20.1651921755416
"NR3C2",-0.692830615984422,3.0883699781317,-7.59244646858816,2.00105095386989e-13,1.88342268121346e-11,19.9684220951737
"CRIP2",0.649177371882722,4.25116296003931,7.57964364341192,2.1829457725491e-13,2.02054304357685e-11,19.8841013976183
"CD248",0.829309487557599,5.22567650300979,7.56791058147758,2.3639030305116e-13,2.1775183684905e-11,19.8069210635431
"IGFBP6",0.8129180792566,4.02922781227016,7.54680029774051,2.72746916776902e-13,2.45344174903542e-11,19.6682858348868
"PODN",0.828912773750626,3.11800969089842,7.53417467363419,2.97069397931955e-13,2.64737193691919e-11,19.5855116782195
"MYH11",1.32431819874274,3.95918437709532,7.52416344666859,3.17864265312832e-13,2.8195737608305e-11,19.5199526053499
"THBS4",1.10053011656692,1.68387462981373,7.51830819542038,3.30684687486018e-13,2.90638468451014e-11,19.4816399369789
"CLU",0.956426856811799,4.17618363060845,7.45826403338596,4.95388329995346e-13,4.18133938445411e-11,19.0900668948888
"CDKN1C",0.731150635461766,3.39171710943883,7.45533580378972,5.05218928338203e-13,4.22707190696942e-11,19.0710320675481
"CCN2",0.772061257439868,7.00052907213941,7.45128979572591,5.19119060777676e-13,4.32448748021751e-11,19.0447405853447
"TIMP3",0.757399992266607,2.17094342601206,7.44390761721238,5.45458309190569e-13,4.52423428748541e-11,18.9967983993798
"HSPB6",1.14920446363642,2.9017965298961,7.44153341222461,5.54205926061e-13,4.57697652729688e-11,18.9813873024975
"DBN1",0.697181595453269,4.75146742320289,7.43854792761318,5.65402153809019e-13,4.61947451419565e-11,18.9620137018692
"DCHS1",0.622607622767281,2.88735967726518,7.43221581154472,5.89891719978157e-13,4.76891365180653e-11,18.9209426442141
"MAB21L2",0.921073571822726,2.82098043311873,7.40954115236246,6.86466038756853e-13,5.45754742845697e-11,18.774091483441
"KRT17",1.29330832796637,3.74425794343609,7.39130624582771,7.75291551372147e-13,6.03844964402046e-11,18.6562441667231
"PDGFRB",0.757581405416943,5.05859609639749,7.38772707687674,7.94010829174798e-13,6.13437398668917e-11,18.6331391659415
"LGALS1",0.73664953561077,8.42835537397505,7.38008127922675,8.35502768921189e-13,6.37778209264142e-11,18.5838112516952
"FBLN2",1.05542746346481,4.08234124683445,7.3396439193224,1.09310664133642e-12,7.93330426060823e-11,18.3235785958583
"COL1A2",1.00954535456005,8.24318116202063,7.33394601015497,1.13519438976893e-12,8.19206340474421e-11,18.2869986346232
"THY1",0.740209554601378,5.41658274376226,7.33213664742821,1.14889013588831e-12,8.21370709090299e-11,18.275387309967
"POPDC2",0.586517986131173,1.63139499148332,7.32528632676175,1.20223276818232e-12,8.56311518155141e-11,18.2314464129972
"SPOCK1",1.0067394166315,2.48448311502543,7.32224536241217,1.2266870534641e-12,8.70493479421193e-11,18.2119505324262
"TMEM204",0.585690272009464,4.15732777547065,7.29650792802819,1.4542583841964e-12,1.02439671475011e-10,18.0471963916861
"AKAP12",0.922049609872638,2.75369956149584,7.2852338832706,1.566589645975e-12,1.09546925609055e-10,17.9751688132754
"ST6GALNAC1",-1.07142137175895,6.17893843933683,-7.28295125056631,1.590351817985e-12,1.10456502155456e-10,17.9605960411325
"OLFML2B",0.806899386039568,4.24549299037459,7.2786895539312,1.63566950501652e-12,1.1265675905422e-10,17.9333980116762
"NXN",0.734150632511356,2.87658040200821,7.27824575899835,1.64046115741792e-12,1.1265675905422e-10,17.9305664341859
"TCEA2",0.641830110995236,2.26653843225434,7.27617604962606,1.6629909335361e-12,1.13796093880541e-10,17.9173626827896
"CCN1",0.850530250481802,6.01860374559594,7.23077926186093,2.24134539070422e-12,1.49631281135515e-10,17.6284863913133
"LAMB2",0.606619186294732,5.23604842995262,7.22420871243996,2.3400177755773e-12,1.55137510657651e-10,17.5867920206423
"CLDN5",0.72745411231316,2.66033791712473,7.22254232019487,2.3657147312801e-12,1.56300325004575e-10,17.5762223766141
"PCOLCE",0.751142548053533,4.91997218141296,7.2143174135704,2.49667358894378e-12,1.63263706362331e-10,17.5240809915867
"TC2N",-0.605904587867089,4.79915323293269,-7.18906990775167,2.94486201002436e-12,1.88078520373556e-10,17.364314871008
"FGF19",0.915912666066812,1.23419657936557,7.15618750055527,3.6489595976486e-12,2.29035401775557e-10,17.1568906613046
"PTK7",0.836959292609641,4.78096784932313,7.14118564104009,4.0229013447545e-12,2.49623259704218e-10,17.0625049910983
"HSPB8",0.835895396656517,2.65211063881891,7.13166449359186,4.27952632294606e-12,2.63651846776999e-10,17.0026821837183
"LOXL1",0.657315278655912,3.58360708598402,7.08475231508506,5.79865848870823e-12,3.50480431052523e-10,16.708839960988
"CRABP2",1.00016770672682,3.65322845202944,7.0722668670053,6.2853591043976e-12,3.77515612665385e-10,16.6308919258201
"IGFBP3",0.679000857896258,6.19280735241032,7.06923834496652,6.40934207749961e-12,3.83759356890289e-10,16.6120008205186
"FAS",-0.613712282540863,3.61408415050296,-7.06346999163826,6.65217887071715e-12,3.9682375850419e-10,16.5760369942493
"MGP",0.997233599015498,5.18714838774832,7.06307908563927,6.66895878070717e-12,3.9682375850419e-10,16.5736006569485
"FKBP10",0.8478353119399,5.87386257168731,7.04700013706594,7.39642989198594e-12,4.29441202213486e-10,16.4734799588739
"ECM1",0.652622241657425,5.04390171483896,7.01646183647309,8.99928783533752e-12,5.16246571631937e-10,16.2838188003023
"SYNDIG1",0.614052119480524,1.72794721033668,7.00410990008019,9.74056584729797e-12,5.53795969241036e-10,16.2072905461801
"COL5A1",0.84212369033329,5.74149961944787,7.00347586712048,9.78019457418149e-12,5.54403929116324e-10,16.2033651751897
"LBH",0.613829627957473,5.0002994837983,7.00052169417446,9.96693784988341e-12,5.6332309499636e-10,16.1850792530106
"SCARA3",0.662846989531804,2.44869224557465,6.98630860546081,1.0915544895675e-11,6.07970465700968e-10,16.0971874709223
"PDLIM3",0.723194612952568,2.63853978876509,6.98474625322503,1.10250837201812e-11,6.11146096233885e-10,16.0875347187452
"CASP1",-0.79200513579483,4.9155239325856,-6.97654768048772,1.16178527391553e-11,6.35994452806329e-10,16.0369091084825
"NRP2",0.66801786750186,2.71621194985608,6.96588363587314,1.24359539128079e-11,6.74993985749005e-10,15.9711298255716
"ACTG2",1.1578775412886,5.25381684034827,6.96197306103809,1.27499323176294e-11,6.88137192128958e-10,15.9470281071103
"COL10A1",1.30796409207168,3.30083959287942,6.95116772521496,1.3658561418788e-11,7.33047722083973e-10,15.8804882578632
"DES",1.64662764888304,5.24430823070222,6.94653910297577,1.40669850859359e-11,7.52858754878582e-10,15.8520100212124
"SLIT3",0.608370069527533,1.60865683538151,6.94220938989059,1.44598866084052e-11,7.7173099559065e-10,15.8253844860524
"COL8A1",0.927673290038631,3.23200029911471,6.93715248846258,1.49324456711322e-11,7.9473794183026e-10,15.7943037898143
"TIMP2",0.797889292214029,6.2920672785249,6.92293078278137,1.63443154905681e-11,8.65074819887526e-10,15.7069908359039
"COL8A2",0.754957444183216,2.46189125926443,6.91203395764295,1.75141155848916e-11,9.24436514067559e-10,15.6401870405125
"CNTNAP1",0.590563109374579,2.10911980059201,6.90660229567108,1.81275606806054e-11,9.51572774357261e-10,15.6069190804059
"NDN",0.664496510718778,3.55882792750331,6.89981598040716,1.89237310375063e-11,9.85268170322338e-10,15.565383344402
"MATN3",0.677091860635027,1.58151207082721,6.88066488897768,2.1360485311078e-11,1.09723029104626e-09,15.4483441369672
"FGFR1",0.62116154602078,2.77915180388614,6.87511417239493,2.21226445908096e-11,1.12905206918687e-09,15.4144701520065
"RAB3IL1",0.600557837052683,2.90856907971005,6.8738107891443,2.23054473653288e-11,1.13361371755889e-09,15.4065192414095
"PBK",-0.654211566978683,4.88466924963258,-6.86214747735411,2.40087148280345e-11,1.20736739135208e-09,15.3354241045832
"TSPAN13",-0.612336659773229,7.17964974929767,-6.86118621519828,2.41546621169594e-11,1.21152703183493e-09,15.3295689094942
"SLC9A2",-0.809227361359406,3.12650522714608,-6.84832305046865,2.6193577590771e-11,1.28684345292096e-09,15.251280395391
"ANGPTL2",0.809440614883333,4.8161157822043,6.84604624957405,2.65716754003625e-11,1.30208005286687e-09,15.2374354194302
"GFPT2",0.758173611534262,1.99126868939428,6.84478900908399,2.67827517207215e-11,1.30574433325451e-09,15.2297918537963
"COL4A2",0.636024656985924,6.89903823800067,6.8434558141174,2.70083792153896e-11,1.30676905496683e-09,15.2216877373833
"ZNF503",0.660063653240573,4.44443691531925,6.79763900394057,3.60060979091376e-11,1.69502908093139e-09,14.9439476181534
"TRPA1",-0.683610220250427,1.80134511371458,-6.7926859903364,3.71396214741471e-11,1.73137505460987e-09,14.9140120710453
"GEM",0.622805264355573,4.41363074293411,6.78415254864458,3.91752914880027e-11,1.80867128894008e-09,14.8624777794706
"CASQ2",0.699986518292728,0.825845680327907,6.77992999866161,4.02227175374031e-11,1.84812294488404e-09,14.8369965973829
"SMIM31",-0.771308383095343,3.57580808391295,-6.7788957148636,4.04834409845572e-11,1.85122369752772e-09,14.8307571018936
"OBSL1",0.741653805957023,2.39518771251546,6.77346729732341,4.18792917071659e-11,1.89940119711542e-09,14.7980217590118
"PTGIS",0.825147358450817,1.9805652577707,6.76738170590177,4.35003499509041e-11,1.95191265821855e-09,14.7613484386868
"ITGA5",0.729421643541234,4.57937206733391,6.76430922574996,4.43420325985558e-11,1.98503117894469e-09,14.7428429450708
"SERPINE1",0.86153324109344,4.83230744551549,6.75984199528953,4.55943914487906e-11,2.03160125618332e-09,14.7159489332351
"NGFR",0.629435146894104,1.18743744976253,6.75225212230261,4.78022469710048e-11,2.12011817584364e-09,14.6702884386273
"EGR2",0.675261035037305,2.25633040892526,6.75084518381569,4.82228972920477e-11,2.13383536285366e-09,14.661828858489
"HTRA1",0.691198652427573,6.11282591290861,6.72994710847763,5.4916055332369e-11,2.37515038412684e-09,14.5363407051936
"NTSR1",0.735081334822878,0.999147103285323,6.72154299825219,5.78576874712023e-11,2.48554549764178e-09,14.4859642129439
"ADAMTS4",0.621100855014618,2.59823100548976,6.7197292323107,5.85125530709321e-11,2.50805484751467e-09,14.4750986621114
"COL11A1",1.02494224952691,3.1878253943525,6.70366648516315,6.46387282088347e-11,2.73999564708246e-09,14.378976232616
"AMIGO2",0.710936478953368,3.8432124665508,6.68118475282163,7.42820468411374e-11,3.0872972179527e-09,14.2447529572651
"RTL8C",0.713516261002058,6.28585785648983,6.68033368455441,7.46735773527155e-11,3.09685225558015e-09,14.2396789501779
"GDPD5",0.707518536942603,3.2946801954586,6.65719153189064,8.61316397761595e-11,3.54137815045325e-09,14.1019072810973
"SCG2",0.704916331696084,1.78820646895433,6.65062957183908,8.96832701168434e-11,3.67164840905709e-09,14.0629124402177
